id_dispositivo,id_usuario,tipo,sistema_operacional
101,866,Notebook,Android
102,469,Smartphone,Windows
103,305,Smartphone,Windows
104,567,Tablet,Linux
105,609,SmartTV,Linux
106,623,Smartphone,Windows
107,84,Smartphone,Linux
108,263,Notebook,iOS
109,792,Notebook,Linux
110,833,Tablet,iOS
111,187,Smartphone,iOS
112,838,Tablet,iOS
113,133,SmartTV,iOS
114,461,Smartphone,Windows
115,631,Tablet,Android
116,57,Tablet,Android
117,488,Smartphone,iOS
118,589,Smartphone,Android
119,217,Tablet,Windows
120,686,SmartTV,Linux
121,825,SmartTV,Windows
122,450,Notebook,iOS
123,336,Smartphone,Android
124,928,SmartTV,iOS
125,856,Tablet,iOS
126,309,SmartTV,Android
127,572,Smartphone,Android
128,180,SmartTV,Android
129,827,Smartphone,Linux
130,240,SmartTV,iOS
131,917,Notebook,iOS
132,74,Notebook,iOS
133,276,Smartphone,Windows
134,899,Smartphone,iOS
135,347,SmartTV,Android
136,673,Smartphone,Windows
137,842,Tablet,Linux
138,361,Notebook,Android
139,147,Tablet,Linux
140,614,Tablet,Linux
141,441,Tablet,Android
142,785,SmartTV,Windows
143,34,Tablet,Windows
144,891,Notebook,iOS
145,14,Notebook,Windows
146,329,Smartphone,iOS
147,553,Notebook,Android
148,637,Tablet,Windows
149,823,Tablet,Android
150,684,SmartTV,Linux
151,367,Smartphone,Linux
152,855,Notebook,iOS
153,109,Tablet,iOS
154,32,Tablet,iOS
155,796,SmartTV,Windows
156,558,Notebook,Linux
157,456,Smartphone,iOS
158,920,Notebook,iOS
159,333,Tablet,iOS
160,503,Notebook,iOS
161,333,Smartphone,Windows
162,896,Notebook,Android
163,968,Notebook,iOS
164,119,Tablet,iOS
165,406,Tablet,iOS
166,219,SmartTV,Windows
167,685,SmartTV,Linux
168,375,SmartTV,Linux
169,68,Tablet,iOS
170,478,Smartphone,Android
171,124,SmartTV,Linux
172,99,Notebook,Linux
173,557,Tablet,Android
174,696,SmartTV,iOS
175,787,Tablet,iOS
176,27,SmartTV,Android
177,385,Notebook,Linux
178,601,Notebook,Windows
179,749,Smartphone,iOS
180,574,Tablet,Windows
181,907,Smartphone,Linux
182,632,Tablet,iOS
183,877,SmartTV,iOS
184,623,Tablet,iOS
185,577,Notebook,Android
186,850,Smartphone,Android
187,232,Notebook,Linux
188,574,SmartTV,iOS
189,846,SmartTV,iOS
190,982,Notebook,Linux
191,915,Notebook,iOS
192,266,Tablet,Android
193,956,Notebook,Linux
194,785,SmartTV,iOS
195,52,Notebook,Linux
196,962,SmartTV,iOS
197,70,Smartphone,Linux
198,13,Notebook,Linux
199,729,Tablet,iOS
200,75,Tablet,Android
201,837,SmartTV,Android
202,712,Notebook,Windows
203,908,Smartphone,iOS
204,505,SmartTV,iOS
205,822,Smartphone,Windows
206,807,SmartTV,Linux
207,556,Smartphone,Windows
208,25,SmartTV,Android
209,138,Notebook,Android
210,170,Notebook,Windows
211,960,Tablet,Windows
212,549,Smartphone,iOS
213,855,Tablet,Android
214,489,Smartphone,iOS
215,339,SmartTV,Windows
216,764,Tablet,Windows
217,754,Tablet,Android
218,678,Tablet,Windows
219,375,Smartphone,Windows
220,724,Tablet,Windows
221,976,Notebook,iOS
222,901,SmartTV,Android
223,344,Notebook,Android
224,933,SmartTV,Linux
225,651,Smartphone,Linux
226,370,SmartTV,Windows
227,606,SmartTV,Android
228,346,Smartphone,iOS
229,544,Notebook,Linux
230,415,Smartphone,Linux
231,651,SmartTV,Android
232,126,Notebook,iOS
233,524,Notebook,Android
234,709,Notebook,Windows
235,417,SmartTV,Android
236,220,SmartTV,Linux
237,161,Notebook,Android
238,448,SmartTV,Android
239,53,Tablet,iOS
240,558,Tablet,iOS
241,785,Smartphone,Windows
242,904,Smartphone,Windows
243,709,SmartTV,Windows
244,414,Tablet,Windows
245,800,Notebook,Windows
246,56,Tablet,iOS
247,26,Smartphone,Windows
248,863,SmartTV,Linux
249,618,Smartphone,iOS
250,822,Tablet,Linux
251,686,Tablet,Windows
252,432,Smartphone,iOS
253,550,Smartphone,Android
254,300,Smartphone,Linux
255,155,Notebook,iOS
256,20,Notebook,Android
257,279,Smartphone,Linux
258,456,Tablet,iOS
259,469,Smartphone,Android
260,541,SmartTV,iOS
261,442,Tablet,iOS
262,768,SmartTV,Windows
263,29,Tablet,Android
264,404,SmartTV,Linux
265,939,Tablet,Android
266,836,Tablet,Windows
267,634,Smartphone,Android
268,112,SmartTV,Windows
269,203,Smartphone,Windows
270,191,Smartphone,Linux
271,464,Smartphone,Linux
272,440,Notebook,Android
273,96,SmartTV,Linux
274,17,Notebook,Linux
275,806,Notebook,Android
276,385,SmartTV,iOS
277,463,Notebook,Windows
278,947,Smartphone,iOS
279,595,Smartphone,iOS
280,271,Smartphone,iOS
281,168,Tablet,Android
282,627,Smartphone,iOS
283,910,Notebook,Windows
284,207,SmartTV,iOS
285,402,SmartTV,Android
286,414,Smartphone,Windows
287,982,Notebook,Linux
288,701,SmartTV,Android
289,31,SmartTV,Windows
290,930,SmartTV,Android
291,981,Tablet,iOS
292,558,Tablet,iOS
293,153,Notebook,iOS
294,521,SmartTV,Linux
295,903,Notebook,Android
296,715,Smartphone,Windows
297,804,Tablet,Windows
298,945,Notebook,Android
299,381,Tablet,iOS
300,996,Smartphone,iOS
301,985,Tablet,Windows
302,136,Smartphone,iOS
303,260,Tablet,Linux
304,244,Smartphone,Android
305,960,Notebook,Android
306,655,Notebook,iOS
307,330,Tablet,iOS
308,208,Notebook,Windows
309,328,SmartTV,Linux
310,235,Tablet,Linux
311,32,Smartphone,Windows
312,871,Smartphone,iOS
313,442,SmartTV,Android
314,392,Notebook,Windows
315,229,SmartTV,Linux
316,341,SmartTV,Linux
317,546,Notebook,Linux
318,874,Tablet,iOS
319,426,Notebook,Linux
320,762,Smartphone,Android
321,497,Tablet,Android
322,928,Tablet,iOS
323,107,Notebook,Linux
324,116,SmartTV,Android
325,517,Smartphone,Linux
326,331,Tablet,Windows
327,946,SmartTV,Android
328,799,Smartphone,Windows
329,531,SmartTV,Android
330,854,Smartphone,Linux
331,20,Tablet,Windows
332,587,Notebook,iOS
333,300,Smartphone,iOS
334,474,Tablet,Linux
335,67,Smartphone,Linux
336,242,SmartTV,iOS
337,780,Notebook,Android
338,683,Smartphone,Windows
339,173,SmartTV,Linux
340,377,Smartphone,Linux
341,722,Smartphone,Windows
342,6,Tablet,Linux
343,177,Tablet,Windows
344,130,Notebook,Linux
345,240,Notebook,iOS
346,760,Tablet,Android
347,748,Tablet,iOS
348,519,SmartTV,Android
349,786,SmartTV,iOS
350,313,Smartphone,Windows
351,46,Tablet,Linux
352,903,Tablet,Android
353,296,SmartTV,iOS
354,783,Smartphone,Windows
355,485,Notebook,Android
356,923,SmartTV,Android
357,150,Tablet,iOS
358,769,SmartTV,Windows
359,220,Tablet,Linux
360,526,SmartTV,Linux
361,365,Notebook,iOS
362,475,SmartTV,Linux
363,854,Smartphone,Windows
364,598,SmartTV,Linux
365,820,Notebook,Linux
366,791,Smartphone,Windows
367,137,Tablet,Android
368,260,Notebook,iOS
369,251,SmartTV,iOS
370,910,SmartTV,Android
371,224,SmartTV,Android
372,168,Tablet,Windows
373,814,SmartTV,iOS
374,377,Smartphone,iOS
375,271,Smartphone,iOS
376,483,Smartphone,Android
377,955,Smartphone,Linux
378,620,Notebook,Windows
379,251,SmartTV,iOS
380,878,Smartphone,Windows
381,886,Smartphone,Android
382,280,Tablet,iOS
383,110,Smartphone,Windows
384,213,Smartphone,Linux
385,136,Notebook,iOS
386,527,Notebook,Windows
387,266,Notebook,Windows
388,860,Smartphone,Linux
389,924,Smartphone,Linux
390,553,Smartphone,Linux
391,227,Tablet,iOS
392,389,Smartphone,Windows
393,954,Smartphone,Linux
394,708,Tablet,Android
395,506,Notebook,Linux
396,730,SmartTV,Windows
397,173,SmartTV,Android
398,390,Notebook,Windows
399,400,Smartphone,Linux
400,49,Smartphone,Windows
401,315,SmartTV,iOS
402,610,Tablet,Android
403,155,SmartTV,Windows
404,959,Smartphone,iOS
405,486,Smartphone,Linux
406,726,Tablet,Android
407,523,Smartphone,Linux
408,965,Notebook,Linux
409,243,Tablet,Android
410,982,SmartTV,iOS
411,904,Notebook,Android
412,379,SmartTV,Android
413,865,Smartphone,iOS
414,163,Smartphone,Linux
415,675,Smartphone,iOS
416,765,Tablet,iOS
417,187,Tablet,iOS
418,992,SmartTV,Android
419,200,Notebook,iOS
420,769,Tablet,Linux
421,510,Tablet,Android
422,869,Tablet,Android
423,81,Tablet,Android
424,697,SmartTV,iOS
425,578,Notebook,Linux
426,536,Notebook,iOS
427,141,Tablet,Android
428,572,SmartTV,Windows
429,683,Smartphone,Linux
430,813,Tablet,iOS
431,771,Smartphone,Android
432,438,SmartTV,Windows
433,339,Notebook,Linux
434,686,Smartphone,Android
435,296,Smartphone,Windows
436,637,Notebook,Linux
437,119,Tablet,iOS
438,706,SmartTV,Linux
439,595,Tablet,Android
440,807,Smartphone,Windows
441,26,SmartTV,Windows
442,39,Smartphone,iOS
443,666,Notebook,Android
444,868,Notebook,Android
445,127,Tablet,Windows
446,513,Smartphone,Android
447,85,Smartphone,Linux
448,365,Tablet,iOS
449,781,Tablet,Windows
450,257,Tablet,Windows
451,808,Smartphone,Windows
452,832,Smartphone,iOS
453,635,SmartTV,Windows
454,601,Smartphone,Linux
455,11,SmartTV,Windows
456,28,Notebook,Android
457,208,Smartphone,iOS
458,184,SmartTV,Windows
459,489,Tablet,Windows
460,843,Notebook,Windows
461,749,Tablet,iOS
462,147,SmartTV,iOS
463,141,Tablet,Linux
464,460,Notebook,Linux
465,784,Notebook,iOS
466,977,SmartTV,Android
467,386,Notebook,Windows
468,502,Smartphone,iOS
469,997,Notebook,iOS
470,319,Notebook,Linux
471,425,Smartphone,Windows
472,82,Smartphone,iOS
473,869,Smartphone,iOS
474,124,Notebook,iOS
475,240,Smartphone,Linux
476,801,Tablet,iOS
477,535,Smartphone,Windows
478,939,Smartphone,Linux
479,99,Notebook,iOS
480,410,Notebook,Windows
481,202,SmartTV,iOS
482,836,Notebook,iOS
483,642,Smartphone,Android
484,837,Tablet,iOS
485,719,SmartTV,iOS
486,53,Tablet,Android
487,65,SmartTV,Android
488,371,SmartTV,Linux
489,899,Tablet,Windows
490,634,Smartphone,Windows
491,913,SmartTV,Linux
492,674,Tablet,iOS
493,644,Tablet,Windows
494,860,Smartphone,Android
495,599,Notebook,Android
496,490,Tablet,Linux
497,822,Notebook,Android
498,357,Smartphone,Android
499,766,Tablet,Linux
500,304,Tablet,iOS
501,120,Notebook,Linux
502,403,Smartphone,Windows
503,842,SmartTV,Windows
504,39,Smartphone,iOS
505,56,SmartTV,iOS
506,934,Tablet,Android
507,943,SmartTV,Linux
508,218,SmartTV,Linux
509,932,SmartTV,Android
510,305,Tablet,iOS
511,719,SmartTV,iOS
512,728,Tablet,iOS
513,628,SmartTV,Android
514,975,Notebook,Linux
515,792,Notebook,Linux
516,872,Notebook,iOS
517,300,Tablet,iOS
518,810,Tablet,Windows
519,215,Tablet,Linux
520,906,SmartTV,Android
521,686,SmartTV,iOS
522,662,Tablet,Android
523,572,Smartphone,Android
524,718,SmartTV,Windows
525,924,SmartTV,Linux
526,261,Notebook,Linux
527,583,Tablet,Android
528,526,Notebook,Android
529,94,Notebook,Windows
530,942,Notebook,Linux
531,299,Tablet,Android
532,146,Smartphone,Android
533,944,SmartTV,Windows
534,510,SmartTV,Linux
535,326,Smartphone,Android
536,338,Tablet,Linux
537,19,Notebook,Linux
538,363,Notebook,Windows
539,386,Notebook,iOS
540,624,SmartTV,Linux
541,691,Smartphone,Windows
542,254,SmartTV,Linux
543,291,SmartTV,iOS
544,948,SmartTV,iOS
545,802,Notebook,Android
546,207,Tablet,Linux
547,345,Notebook,Linux
548,326,Smartphone,Linux
549,151,Notebook,iOS
550,976,Smartphone,Linux
551,566,Tablet,Windows
552,230,Smartphone,Windows
553,669,Tablet,Windows
554,995,Notebook,Windows
555,612,Tablet,Windows
556,400,Notebook,iOS
557,86,SmartTV,Linux
558,774,Smartphone,iOS
559,31,Tablet,iOS
560,584,Notebook,Linux
561,666,Notebook,Linux
562,54,SmartTV,Windows
563,248,SmartTV,iOS
564,220,Smartphone,Android
565,318,Tablet,Linux
566,715,Smartphone,iOS
567,850,Tablet,iOS
568,598,Tablet,Android
569,778,Tablet,Linux
570,616,Notebook,Linux
571,520,Tablet,iOS
572,648,Smartphone,Android
573,783,Notebook,Linux
574,956,Notebook,iOS
575,946,Tablet,Android
576,28,Smartphone,Android
577,975,Smartphone,Android
578,342,Tablet,Linux
579,376,Smartphone,Windows
580,487,Smartphone,Android
581,259,Tablet,Android
582,513,Smartphone,Windows
583,154,Notebook,iOS
584,554,SmartTV,Android
585,448,Tablet,Linux
586,807,Notebook,Windows
587,239,Smartphone,Android
588,149,SmartTV,Linux
589,83,Notebook,iOS
590,570,Smartphone,Linux
591,390,Smartphone,iOS
592,685,SmartTV,Android
593,68,Smartphone,Linux
594,452,Notebook,iOS
595,514,Notebook,iOS
596,666,Smartphone,iOS
597,194,Tablet,Android
598,874,SmartTV,Android
599,586,Smartphone,iOS
600,983,Notebook,Linux
601,429,Smartphone,iOS
602,802,SmartTV,iOS
603,456,SmartTV,Linux
604,627,Tablet,Windows
605,162,SmartTV,Windows
606,684,Notebook,Windows
607,902,Smartphone,Android
608,467,Smartphone,Linux
609,39,Smartphone,Android
610,439,SmartTV,Linux
611,411,SmartTV,Windows
612,271,SmartTV,Linux
613,968,Smartphone,iOS
614,673,Tablet,Android
615,904,SmartTV,Windows
616,162,SmartTV,Android
617,796,Notebook,Linux
618,596,Smartphone,Android
619,62,SmartTV,iOS
620,555,SmartTV,Linux
621,258,Notebook,Android
622,184,Notebook,iOS
623,110,Tablet,Linux
624,96,Tablet,Windows
625,804,Smartphone,iOS
626,588,Smartphone,Windows
627,541,Smartphone,iOS
628,745,SmartTV,Android
629,788,Notebook,Windows
630,848,SmartTV,Linux
631,891,Smartphone,Windows
632,44,Tablet,Windows
633,12,Notebook,Linux
634,119,Tablet,Linux
635,477,Notebook,Linux
636,868,Notebook,Android
637,42,Smartphone,Linux
638,239,SmartTV,Windows
639,453,Notebook,Windows
640,424,Smartphone,Android
641,12,Smartphone,Windows
642,634,Tablet,Linux
643,460,Smartphone,Windows
644,574,Notebook,Windows
645,305,Smartphone,iOS
646,776,Notebook,Linux
647,210,Smartphone,iOS
648,400,Notebook,iOS
649,723,Smartphone,Linux
650,450,Tablet,iOS
651,860,SmartTV,Linux
652,833,SmartTV,Android
653,368,SmartTV,Windows
654,186,Notebook,Windows
655,867,Smartphone,Android
656,127,SmartTV,Windows
657,1,Tablet,iOS
658,555,Smartphone,iOS
659,325,Smartphone,iOS
660,177,Smartphone,iOS
661,968,SmartTV,Linux
662,95,SmartTV,Android
663,322,SmartTV,iOS
664,654,Smartphone,Windows
665,172,SmartTV,iOS
666,188,Tablet,Windows
667,255,Notebook,Windows
668,537,Notebook,Linux
669,166,Tablet,Linux
670,716,Tablet,Android
671,564,SmartTV,Android
672,127,Tablet,Linux
673,317,SmartTV,Linux
674,142,Notebook,iOS
675,846,Smartphone,Windows
676,615,Smartphone,Android
677,532,SmartTV,Windows
678,371,Smartphone,Linux
679,950,SmartTV,iOS
680,626,Notebook,Windows
681,769,Notebook,iOS
682,253,Tablet,iOS
683,455,Smartphone,Android
684,246,Notebook,Linux
685,756,Tablet,Windows
686,720,SmartTV,Android
687,202,SmartTV,Android
688,291,Tablet,Android
689,556,Smartphone,iOS
690,507,Tablet,Linux
691,259,Notebook,Windows
692,821,Tablet,iOS
693,642,SmartTV,Windows
694,414,Smartphone,iOS
695,882,Smartphone,Linux
696,200,Tablet,Linux
697,398,Notebook,Android
698,709,Smartphone,iOS
699,69,Smartphone,Linux
700,672,Tablet,Windows
701,404,Tablet,Windows
702,547,SmartTV,iOS
703,511,Tablet,Linux
704,132,Smartphone,Linux
705,840,Tablet,Android
706,314,Notebook,Android
707,172,Tablet,Linux
708,494,Notebook,Windows
709,18,Smartphone,Windows
710,984,SmartTV,iOS
711,77,Smartphone,Android
712,305,Notebook,iOS
713,471,SmartTV,Android
714,697,SmartTV,Linux
715,888,Notebook,iOS
716,905,SmartTV,Windows
717,822,Smartphone,iOS
718,195,Tablet,Windows
719,53,SmartTV,iOS
720,682,Smartphone,iOS
721,26,Smartphone,Linux
722,978,Notebook,iOS
723,967,Tablet,Windows
724,84,SmartTV,Linux
725,203,SmartTV,Android
726,608,Notebook,Linux
727,63,Notebook,iOS
728,388,Smartphone,Windows
729,163,Notebook,Windows
730,593,SmartTV,Windows
731,929,Smartphone,Android
732,93,Notebook,Linux
733,204,Tablet,Windows
734,796,Smartphone,Android
735,504,SmartTV,Linux
736,673,Notebook,Android
737,738,Notebook,Windows
738,962,Smartphone,Android
739,429,Notebook,Windows
740,96,Smartphone,Android
741,530,Smartphone,iOS
742,7,Notebook,iOS
743,735,SmartTV,Android
744,153,Tablet,Linux
745,738,Notebook,Android
746,162,SmartTV,Android
747,45,SmartTV,iOS
748,780,Smartphone,Windows
749,862,Notebook,Linux
750,169,Tablet,Android
751,806,SmartTV,Linux
752,2,Tablet,Windows
753,779,Notebook,Linux
754,85,Tablet,iOS
755,167,Smartphone,Android
756,309,Notebook,Android
757,118,SmartTV,Windows
758,143,Notebook,Android
759,488,Notebook,iOS
760,788,Tablet,Android
761,255,Tablet,Linux
762,981,SmartTV,Windows
763,877,Smartphone,Android
764,958,Tablet,iOS
765,557,Smartphone,Windows
766,83,Smartphone,Android
767,891,SmartTV,Windows
768,185,Smartphone,Android
769,373,Tablet,Windows
770,969,Notebook,Windows
771,555,Tablet,Android
772,790,Notebook,iOS
773,882,Tablet,Android
774,742,Smartphone,Android
775,788,SmartTV,Android
776,972,Tablet,iOS
777,405,Notebook,Windows
778,374,Notebook,Windows
779,891,Notebook,Windows
780,1,Smartphone,iOS
781,360,Smartphone,iOS
782,704,Smartphone,iOS
783,235,Notebook,Windows
784,263,SmartTV,Linux
785,744,Smartphone,Linux
786,234,Smartphone,Linux
787,949,Smartphone,Android
788,414,Notebook,Android
789,49,SmartTV,Windows
790,179,Notebook,Windows
791,385,Smartphone,iOS
792,721,Smartphone,Windows
793,698,Notebook,Windows
794,905,SmartTV,iOS
795,270,Smartphone,iOS
796,485,Notebook,Linux
797,139,Smartphone,Linux
798,487,SmartTV,Android
799,539,Tablet,Android
800,511,Tablet,Windows
801,255,Notebook,iOS
802,653,Notebook,Linux
803,214,SmartTV,Linux
804,917,Tablet,Windows
805,192,SmartTV,Windows
806,750,SmartTV,Windows
807,931,SmartTV,iOS
808,115,SmartTV,iOS
809,693,Notebook,iOS
810,297,Smartphone,iOS
811,614,SmartTV,Windows
812,480,SmartTV,Android
813,678,SmartTV,Windows
814,744,Smartphone,Android
815,718,Smartphone,Windows
816,48,SmartTV,Windows
817,452,SmartTV,Windows
818,762,SmartTV,iOS
819,710,Tablet,Android
820,536,Tablet,Android
821,697,SmartTV,Windows
822,642,SmartTV,iOS
823,442,Tablet,Linux
824,616,Notebook,Linux
825,587,Tablet,Windows
826,483,Notebook,Windows
827,903,Tablet,Windows
828,744,Tablet,iOS
829,656,Notebook,Windows
830,294,SmartTV,Windows
831,5,Tablet,Windows
832,127,SmartTV,iOS
833,370,Notebook,Windows
834,238,Smartphone,Android
835,469,SmartTV,iOS
836,515,Notebook,iOS
837,62,Smartphone,Linux
838,973,Tablet,iOS
839,184,Smartphone,iOS
840,126,Notebook,Android
841,631,Tablet,Linux
842,78,Tablet,Linux
843,434,Tablet,Linux
844,261,Smartphone,iOS
845,449,SmartTV,Android
846,169,Tablet,Linux
847,334,Tablet,iOS
848,744,Notebook,Android
849,200,Tablet,Windows
850,911,Tablet,Android
851,343,Tablet,Windows
852,682,Notebook,Linux
853,679,SmartTV,Linux
854,147,SmartTV,iOS
855,561,Tablet,Android
856,747,Notebook,iOS
857,302,Notebook,Linux
858,568,Smartphone,iOS
859,409,Notebook,Android
860,309,Tablet,Linux
861,264,Smartphone,Windows
862,326,SmartTV,Linux
863,373,Notebook,Windows
864,973,Tablet,Linux
865,675,Notebook,Windows
866,148,Smartphone,Linux
867,664,SmartTV,Android
868,447,Notebook,iOS
869,622,Tablet,iOS
870,5,Notebook,Windows
871,887,Tablet,Linux
872,298,Tablet,Android
873,607,SmartTV,Windows
874,870,Notebook,Android
875,349,Tablet,iOS
876,413,Tablet,Android
877,43,Smartphone,Android
878,96,Smartphone,Windows
879,542,Tablet,iOS
880,824,SmartTV,iOS
881,74,Notebook,Linux
882,440,Notebook,iOS
883,89,Notebook,iOS
884,987,Tablet,Linux
885,705,SmartTV,Linux
886,90,Tablet,Windows
887,985,Tablet,Linux
888,537,Tablet,Android
889,279,SmartTV,iOS
890,483,Notebook,iOS
891,595,Smartphone,Windows
892,744,SmartTV,iOS
893,527,SmartTV,Linux
894,923,Tablet,iOS
895,771,Notebook,iOS
896,667,SmartTV,Windows
897,448,SmartTV,iOS
898,189,SmartTV,Linux
899,990,Smartphone,iOS
900,690,SmartTV,Windows
901,851,Smartphone,Android
902,408,SmartTV,Windows
903,393,Tablet,Windows
904,256,SmartTV,iOS
905,413,Tablet,Android
906,443,SmartTV,Windows
907,439,Notebook,Linux
908,141,Tablet,iOS
909,863,Smartphone,Android
910,645,Smartphone,Windows
911,412,Tablet,Linux
912,730,SmartTV,Windows
913,449,Smartphone,Windows
914,463,Tablet,iOS
915,589,Tablet,iOS
916,136,Tablet,Android
917,560,Smartphone,Android
918,552,SmartTV,iOS
919,756,Tablet,Windows
920,61,Smartphone,iOS
921,558,SmartTV,iOS
922,835,Notebook,Windows
923,802,Notebook,iOS
924,359,SmartTV,Windows
925,630,Notebook,Linux
926,468,Smartphone,Linux
927,821,Smartphone,Android
928,877,Tablet,Linux
929,481,Smartphone,Windows
930,668,Notebook,iOS
931,526,Tablet,Linux
932,499,Notebook,Android
933,219,Tablet,iOS
934,593,Notebook,Android
935,5,Smartphone,Windows
936,354,SmartTV,Windows
937,387,SmartTV,Android
938,836,Notebook,Linux
939,831,Notebook,Android
940,518,SmartTV,Windows
941,443,Tablet,Android
942,407,Notebook,Linux
943,986,SmartTV,Windows
944,600,Notebook,Android
945,666,SmartTV,Linux
946,576,SmartTV,Android
947,984,Smartphone,iOS
948,327,Tablet,Android
949,508,Tablet,Android
950,122,Tablet,Windows
951,238,SmartTV,Windows
952,40,Tablet,Android
953,208,SmartTV,Linux
954,510,Smartphone,Windows
955,635,SmartTV,iOS
956,262,Notebook,Linux
957,101,Tablet,Android
958,678,SmartTV,Android
959,515,SmartTV,iOS
960,791,Smartphone,Windows
961,462,Tablet,Windows
962,69,Smartphone,iOS
963,911,SmartTV,Android
964,407,Smartphone,Linux
965,944,Smartphone,Android
966,481,Smartphone,Windows
967,968,Notebook,iOS
968,892,Notebook,Windows
969,496,SmartTV,Windows
970,511,Tablet,Android
971,772,SmartTV,Android
972,788,SmartTV,Linux
973,579,Tablet,Linux
974,640,SmartTV,iOS
975,148,Tablet,Linux
976,968,Tablet,Linux
977,172,SmartTV,Linux
978,669,Notebook,Android
979,751,Notebook,Windows
980,990,Tablet,iOS
981,759,Notebook,iOS
982,458,Notebook,iOS
983,182,SmartTV,Windows
984,991,Tablet,iOS
985,781,Smartphone,Linux
986,598,Notebook,Windows
987,986,SmartTV,Windows
988,303,Tablet,Linux
989,927,Smartphone,Android
990,155,SmartTV,Android
991,21,Notebook,Windows
992,251,Notebook,Android
993,899,SmartTV,Windows
994,914,Notebook,Linux
995,76,Tablet,Windows
996,879,Tablet,Windows
997,947,Smartphone,iOS
998,98,Smartphone,iOS
999,966,Notebook,iOS
1000,463,Tablet,Windows
1001,342,Notebook,Android
1002,942,Smartphone,Windows
1003,220,Tablet,iOS
1004,915,Tablet,Linux
1005,714,Tablet,Android
1006,301,Smartphone,iOS
1007,573,SmartTV,Linux
1008,79,SmartTV,Windows
1009,618,Notebook,Android
1010,74,Smartphone,Android
1011,344,SmartTV,iOS
1012,871,Smartphone,Windows
1013,893,Tablet,Android
1014,868,Notebook,Android
1015,80,Tablet,Linux
1016,715,SmartTV,Windows
1017,177,Tablet,iOS
1018,558,Notebook,Windows
1019,324,SmartTV,Linux
1020,691,Smartphone,Android
1021,884,Smartphone,Linux
1022,624,Smartphone,Windows
1023,392,Notebook,Windows
1024,402,SmartTV,Linux
1025,500,Smartphone,Linux
1026,708,Notebook,Linux
1027,861,Tablet,iOS
1028,411,Smartphone,Android
1029,76,SmartTV,iOS
1030,907,Notebook,iOS
1031,526,Notebook,Windows
1032,32,Smartphone,Windows
1033,342,Tablet,Android
1034,856,Smartphone,Android
1035,84,Smartphone,Windows
1036,869,Tablet,iOS
1037,707,SmartTV,Windows
1038,657,Tablet,Windows
1039,817,Notebook,Linux
1040,973,SmartTV,Linux
1041,420,Notebook,Windows
1042,567,Tablet,Windows
1043,670,Tablet,Android
1044,983,Notebook,Android
1045,856,Notebook,iOS
1046,402,Tablet,iOS
1047,826,Notebook,Android
