id_cancelamento,id_usuario,motivo,data_cancelamento
146,852,Problemas técnicos,2023-12-24
147,751,Problemas técnicos,2023-09-03
148,424,Não usa mais,2024-08-15
149,235,Problemas técnicos,2022-11-27
150,516,Pouco conteúdo,2024-05-26
151,557,Muito caro,2023-06-14
152,54,Não usa mais,2024-12-16
153,357,Problemas técnicos,2024-02-13
154,937,Não usa mais,2023-11-26
155,397,Pouco conteúdo,2024-08-10
156,206,Muito caro,2025-03-18
157,868,Pouco conteúdo,2024-12-14
158,560,Muito caro,2023-08-26
159,280,Pouco conteúdo,2024-10-24
160,803,Pouco conteúdo,2025-03-27
161,391,Problemas técnicos,2022-07-31
162,501,Não usa mais,2022-10-02
163,709,Pouco conteúdo,2024-04-22
164,468,Não usa mais,2023-11-27
165,945,Pouco conteúdo,2023-02-01
166,443,Muito caro,2024-04-30
167,657,Pouco conteúdo,2023-01-25
168,652,Muito caro,2024-12-03
169,708,Pouco conteúdo,2024-08-19
170,393,Não usa mais,2022-07-01
171,290,Pouco conteúdo,2022-10-21
172,349,Não usa mais,2025-01-19
173,687,Problemas técnicos,2023-04-20
174,624,Muito caro,2025-02-24
175,375,Problemas técnicos,2025-05-04
176,416,Não usa mais,2023-07-19
177,250,Pouco conteúdo,2024-09-16
178,115,Muito caro,2023-04-08
179,467,Problemas técnicos,2024-08-27
180,97,Não usa mais,2023-10-22
181,34,Pouco conteúdo,2025-01-10
182,933,Pouco conteúdo,2025-04-07
183,792,Pouco conteúdo,2023-06-08
184,454,Problemas técnicos,2022-10-22
185,10,Pouco conteúdo,2022-09-15
186,699,Não usa mais,2022-12-30
187,328,Muito caro,2025-05-20
188,586,Muito caro,2024-04-13
189,163,Não usa mais,2023-09-01
190,669,Não usa mais,2022-06-13
191,612,Não usa mais,2023-10-05
192,339,Não usa mais,2025-02-23
193,594,Não usa mais,2024-04-19
194,507,Não usa mais,2023-05-08
195,215,Não usa mais,2023-07-05
196,229,Muito caro,2024-02-26
197,759,Problemas técnicos,2023-12-15
198,242,Problemas técnicos,2023-07-21
199,746,Pouco conteúdo,2023-08-06
200,732,Muito caro,2023-08-25
201,126,Muito caro,2023-02-22
202,929,Não usa mais,2025-05-15
203,623,Não usa mais,2023-06-25
204,961,Não usa mais,2022-08-24
205,136,Muito caro,2024-09-28
206,174,Muito caro,2023-09-06
207,527,Pouco conteúdo,2022-11-02
208,445,Muito caro,2023-06-08
209,685,Não usa mais,2024-03-30
210,793,Muito caro,2023-05-11
211,526,Muito caro,2024-11-08
212,618,Pouco conteúdo,2025-04-05
213,365,Não usa mais,2023-01-28
214,550,Não usa mais,2025-04-27
215,545,Problemas técnicos,2025-03-22
216,251,Não usa mais,2023-11-11
217,816,Não usa mais,2023-02-16
218,757,Problemas técnicos,2025-04-11
219,551,Muito caro,2022-07-01
220,74,Pouco conteúdo,2022-09-23
221,628,Pouco conteúdo,2024-03-06
222,946,Muito caro,2023-01-11
223,369,Pouco conteúdo,2024-09-23
224,211,Problemas técnicos,2024-10-22
225,283,Muito caro,2023-11-08
226,669,Não usa mais,2022-10-27
227,248,Não usa mais,2023-07-31
228,354,Pouco conteúdo,2022-12-10
229,523,Muito caro,2024-06-18
230,561,Não usa mais,2023-09-18
231,595,Não usa mais,2022-09-05
232,423,Não usa mais,2024-02-15
233,964,Pouco conteúdo,2023-11-13
234,713,Não usa mais,2023-05-29
235,559,Muito caro,2023-07-20
236,959,Problemas técnicos,2025-05-16
237,619,Não usa mais,2023-07-26
238,713,Pouco conteúdo,2022-08-31
239,758,Problemas técnicos,2024-12-24
240,682,Muito caro,2023-01-26
241,986,Não usa mais,2022-11-25
242,124,Muito caro,2022-09-06
243,652,Pouco conteúdo,2022-11-26
244,692,Não usa mais,2023-04-05
245,450,Muito caro,2022-06-27
246,233,Pouco conteúdo,2022-11-07
247,127,Problemas técnicos,2025-05-01
248,863,Problemas técnicos,2024-08-19
249,505,Problemas técnicos,2024-12-23
250,601,Problemas técnicos,2024-07-22
251,914,Não usa mais,2022-10-07
252,1000,Muito caro,2023-02-05
253,321,Muito caro,2025-03-07
254,544,Pouco conteúdo,2023-08-13
255,307,Não usa mais,2024-07-22
256,720,Muito caro,2024-09-10
257,646,Muito caro,2022-11-01
258,306,Pouco conteúdo,2023-05-04
259,516,Muito caro,2023-12-15
260,731,Pouco conteúdo,2022-11-06
261,762,Muito caro,2025-06-08
262,564,Pouco conteúdo,2024-11-11
263,829,Pouco conteúdo,2024-05-10
264,264,Pouco conteúdo,2023-09-23
265,385,Problemas técnicos,2023-10-14
266,195,Problemas técnicos,2022-08-06
267,525,Pouco conteúdo,2023-07-08
268,570,Muito caro,2023-08-18
269,337,Problemas técnicos,2023-10-30
270,561,Pouco conteúdo,2023-04-27
271,879,Não usa mais,2025-03-23
272,700,Pouco conteúdo,2024-04-21
273,445,Não usa mais,2024-03-08
274,205,Não usa mais,2022-10-06
275,684,Não usa mais,2023-11-08
276,150,Problemas técnicos,2025-02-11
277,473,Problemas técnicos,2023-11-18
278,17,Não usa mais,2024-02-02
279,37,Muito caro,2025-02-26
280,509,Problemas técnicos,2024-02-06
281,770,Não usa mais,2023-10-10
282,701,Pouco conteúdo,2023-03-07
283,813,Muito caro,2022-06-20
284,130,Problemas técnicos,2024-07-12
285,315,Muito caro,2024-06-11
286,408,Muito caro,2023-10-27
287,234,Não usa mais,2024-01-12
288,765,Muito caro,2024-12-26
289,212,Problemas técnicos,2024-04-10
290,273,Muito caro,2024-04-24
291,454,Muito caro,2024-11-15
292,572,Pouco conteúdo,2024-03-16
293,904,Pouco conteúdo,2022-12-16
294,187,Muito caro,2022-08-20
295,809,Pouco conteúdo,2022-12-12
296,926,Muito caro,2022-07-26
297,864,Não usa mais,2024-05-01
298,636,Pouco conteúdo,2023-04-10
299,252,Pouco conteúdo,2025-04-24
300,821,Pouco conteúdo,2025-02-22
301,608,Não usa mais,2023-01-01
302,553,Pouco conteúdo,2023-03-07
303,270,Problemas técnicos,2023-05-05
304,881,Não usa mais,2023-04-14
305,348,Problemas técnicos,2022-11-25
306,222,Pouco conteúdo,2024-10-18
307,267,Muito caro,2024-05-31
308,192,Não usa mais,2022-08-12
309,509,Muito caro,2023-01-31
310,127,Muito caro,2023-05-30
311,30,Não usa mais,2024-02-25
312,336,Pouco conteúdo,2025-03-11
313,363,Não usa mais,2023-01-03
314,750,Não usa mais,2022-10-02
315,553,Pouco conteúdo,2023-06-03
316,254,Problemas técnicos,2023-08-12
317,909,Não usa mais,2023-07-27
318,365,Não usa mais,2024-07-19
319,843,Não usa mais,2022-10-19
320,387,Pouco conteúdo,2023-07-05
321,105,Não usa mais,2023-05-14
322,626,Problemas técnicos,2022-10-26
323,167,Pouco conteúdo,2024-06-30
324,647,Pouco conteúdo,2024-05-01
325,324,Muito caro,2023-03-14
326,452,Problemas técnicos,2024-08-19
327,476,Não usa mais,2025-05-30
328,51,Problemas técnicos,2023-12-24
329,644,Pouco conteúdo,2024-07-08
330,553,Muito caro,2025-04-20
331,361,Problemas técnicos,2023-03-25
332,657,Muito caro,2023-01-03
333,851,Pouco conteúdo,2025-05-02
334,202,Muito caro,2025-02-25
335,488,Pouco conteúdo,2024-06-13
336,432,Muito caro,2022-07-23
337,618,Pouco conteúdo,2024-04-24
338,818,Muito caro,2025-06-06
339,764,Pouco conteúdo,2024-08-08
340,354,Problemas técnicos,2022-06-17
341,208,Pouco conteúdo,2024-10-26
342,14,Muito caro,2024-11-08
343,73,Pouco conteúdo,2025-01-03
344,605,Pouco conteúdo,2024-09-16
345,197,Problemas técnicos,2025-04-11
346,964,Problemas técnicos,2024-11-14
347,166,Muito caro,2024-06-01
348,797,Muito caro,2025-04-06
349,821,Não usa mais,2025-04-29
350,541,Problemas técnicos,2024-06-27
351,789,Não usa mais,2022-07-12
352,62,Problemas técnicos,2022-09-08
353,73,Muito caro,2025-05-30
354,853,Problemas técnicos,2023-01-31
355,707,Não usa mais,2023-11-29
356,236,Não usa mais,2024-12-14
357,649,Problemas técnicos,2025-03-01
358,159,Muito caro,2023-04-04
359,122,Problemas técnicos,2024-10-03
360,534,Não usa mais,2025-02-03
361,29,Não usa mais,2022-10-31
362,399,Problemas técnicos,2022-10-05
363,329,Pouco conteúdo,2024-01-26
364,673,Não usa mais,2025-01-01
365,914,Pouco conteúdo,2024-11-13
366,201,Não usa mais,2025-05-21
367,892,Pouco conteúdo,2023-12-02
368,984,Muito caro,2023-09-12
369,372,Pouco conteúdo,2025-04-20
370,651,Problemas técnicos,2025-05-26
371,459,Pouco conteúdo,2024-01-23
372,877,Pouco conteúdo,2023-12-25
373,786,Não usa mais,2025-06-10
374,618,Pouco conteúdo,2024-10-05
375,765,Não usa mais,2024-04-04
376,66,Problemas técnicos,2024-08-31
377,172,Problemas técnicos,2023-08-10
378,605,Não usa mais,2024-05-26
379,541,Muito caro,2022-09-14
380,527,Pouco conteúdo,2024-05-19
381,196,Muito caro,2025-04-29
382,618,Pouco conteúdo,2023-05-13
383,868,Não usa mais,2024-03-22
384,589,Muito caro,2024-08-15
385,615,Não usa mais,2024-12-11
386,1000,Muito caro,2024-04-18
387,457,Não usa mais,2025-04-14
388,103,Não usa mais,2024-04-10
389,629,Muito caro,2023-11-12
390,348,Pouco conteúdo,2022-11-22
391,109,Problemas técnicos,2023-06-18
392,441,Problemas técnicos,2022-08-06
393,677,Muito caro,2022-07-06
394,113,Pouco conteúdo,2022-08-21
395,848,Problemas técnicos,2024-12-25
396,860,Não usa mais,2024-07-12
397,467,Pouco conteúdo,2023-01-25
398,221,Muito caro,2022-12-25
399,487,Pouco conteúdo,2024-11-26
400,49,Não usa mais,2024-06-30
401,650,Muito caro,2023-05-11
402,871,Muito caro,2024-07-04
403,312,Problemas técnicos,2025-03-18
404,252,Problemas técnicos,2023-09-01
405,905,Não usa mais,2024-03-06
406,242,Não usa mais,2024-02-20
407,842,Pouco conteúdo,2024-05-30
408,714,Pouco conteúdo,2025-03-30
409,351,Não usa mais,2023-02-28
410,383,Problemas técnicos,2023-12-27
411,946,Não usa mais,2023-06-25
412,290,Não usa mais,2023-05-19
413,624,Pouco conteúdo,2024-11-05
414,622,Muito caro,2023-09-18
415,192,Problemas técnicos,2023-01-31
416,434,Muito caro,2024-04-19
417,999,Muito caro,2023-11-11
418,770,Problemas técnicos,2024-01-12
419,109,Problemas técnicos,2024-05-05
420,831,Pouco conteúdo,2022-07-23
421,913,Problemas técnicos,2025-05-24
422,498,Problemas técnicos,2023-07-19
423,11,Problemas técnicos,2024-10-01
424,772,Não usa mais,2022-09-08
425,907,Muito caro,2024-04-15
426,589,Não usa mais,2024-12-29
427,563,Problemas técnicos,2025-01-26
428,10,Muito caro,2022-07-14
429,563,Muito caro,2025-04-12
430,68,Problemas técnicos,2024-07-19
431,22,Pouco conteúdo,2023-05-08
432,511,Muito caro,2022-11-26
433,280,Não usa mais,2025-05-06
434,784,Muito caro,2024-01-03
435,745,Pouco conteúdo,2024-03-20
436,224,Não usa mais,2023-09-17
437,216,Pouco conteúdo,2023-04-12
438,948,Não usa mais,2023-10-22
439,727,Problemas técnicos,2022-12-29
440,22,Pouco conteúdo,2022-11-06
441,763,Pouco conteúdo,2025-04-15
442,371,Muito caro,2024-03-05
443,701,Pouco conteúdo,2024-02-17
444,210,Problemas técnicos,2023-04-11
445,947,Muito caro,2024-07-21
446,563,Não usa mais,2023-03-10
447,145,Não usa mais,2024-01-02
448,199,Problemas técnicos,2023-09-23
449,184,Pouco conteúdo,2025-06-09
450,968,Muito caro,2023-11-12
451,728,Pouco conteúdo,2024-01-03
452,485,Muito caro,2022-10-17
453,734,Muito caro,2024-06-17
454,373,Problemas técnicos,2024-09-17
455,362,Pouco conteúdo,2024-10-18
456,700,Não usa mais,2024-03-12
457,431,Pouco conteúdo,2024-09-09
458,704,Muito caro,2024-07-31
459,838,Muito caro,2022-09-26
460,438,Muito caro,2025-01-14
461,520,Pouco conteúdo,2025-05-25
462,180,Muito caro,2024-11-04
463,140,Pouco conteúdo,2024-03-26
464,439,Não usa mais,2022-09-24
465,890,Muito caro,2023-07-26
466,84,Pouco conteúdo,2023-10-29
467,815,Problemas técnicos,2023-04-04
468,721,Muito caro,2024-11-21
469,113,Não usa mais,2024-02-08
470,118,Muito caro,2024-02-04
471,285,Pouco conteúdo,2022-12-02
472,678,Pouco conteúdo,2023-01-16
473,825,Muito caro,2024-02-19
474,436,Muito caro,2023-09-29
475,290,Muito caro,2025-03-28
476,702,Não usa mais,2025-03-02
477,378,Pouco conteúdo,2022-12-02
478,27,Problemas técnicos,2024-09-16
479,274,Problemas técnicos,2024-07-27
480,857,Pouco conteúdo,2023-02-10
481,51,Muito caro,2022-12-09
482,978,Problemas técnicos,2022-10-28
483,549,Problemas técnicos,2025-01-28
484,716,Problemas técnicos,2024-10-18
485,125,Não usa mais,2025-05-17
486,764,Muito caro,2024-02-19
487,53,Problemas técnicos,2023-10-01
488,839,Não usa mais,2025-02-14
489,173,Problemas técnicos,2025-02-08
490,293,Não usa mais,2023-07-22
491,884,Muito caro,2023-02-28
492,319,Muito caro,2022-10-28
493,21,Muito caro,2025-01-17
494,760,Não usa mais,2024-01-23
495,330,Pouco conteúdo,2023-02-28
496,565,Não usa mais,2025-04-04
497,743,Problemas técnicos,2022-11-19
498,26,Não usa mais,2023-07-29
499,982,Pouco conteúdo,2023-01-18
500,240,Muito caro,2023-02-01
501,588,Não usa mais,2023-01-28
502,439,Não usa mais,2024-11-18
503,27,Problemas técnicos,2023-05-16
504,341,Muito caro,2023-08-28
505,321,Problemas técnicos,2023-03-31
506,827,Problemas técnicos,2024-07-15
507,820,Problemas técnicos,2025-04-06
508,95,Pouco conteúdo,2024-03-08
509,198,Muito caro,2022-12-24
510,965,Não usa mais,2025-03-31
511,804,Muito caro,2023-02-11
512,745,Problemas técnicos,2023-01-01
513,544,Não usa mais,2024-04-02
514,187,Não usa mais,2022-10-30
515,264,Não usa mais,2024-12-21
516,297,Problemas técnicos,2024-09-10
517,559,Pouco conteúdo,2023-09-07
518,563,Problemas técnicos,2024-04-25
519,668,Muito caro,2023-01-20
520,947,Problemas técnicos,2023-02-11
521,738,Problemas técnicos,2023-06-11
522,570,Problemas técnicos,2023-03-29
523,617,Problemas técnicos,2023-11-24
524,458,Muito caro,2023-07-07
525,389,Muito caro,2025-03-27
526,855,Problemas técnicos,2024-03-19
527,932,Problemas técnicos,2022-11-19
528,777,Não usa mais,2023-06-25
529,171,Muito caro,2024-05-26
530,914,Muito caro,2022-10-26
531,951,Problemas técnicos,2023-03-18
532,826,Pouco conteúdo,2023-11-09
533,948,Muito caro,2023-04-09
534,905,Pouco conteúdo,2024-11-17
535,130,Problemas técnicos,2024-11-28
536,508,Problemas técnicos,2025-04-29
537,447,Não usa mais,2025-03-27
538,431,Pouco conteúdo,2022-07-24
539,368,Problemas técnicos,2024-06-11
540,956,Problemas técnicos,2023-02-28
541,377,Não usa mais,2024-05-08
542,586,Problemas técnicos,2025-01-17
543,846,Problemas técnicos,2024-03-15
544,6,Pouco conteúdo,2024-05-19
545,867,Não usa mais,2024-12-29
546,724,Pouco conteúdo,2025-04-22
547,790,Pouco conteúdo,2024-04-06
548,701,Pouco conteúdo,2025-04-13
549,221,Muito caro,2023-11-26
550,66,Pouco conteúdo,2023-07-16
551,475,Muito caro,2024-10-29
552,920,Problemas técnicos,2022-06-18
553,436,Pouco conteúdo,2023-10-08
554,362,Pouco conteúdo,2024-05-11
555,549,Problemas técnicos,2024-09-07
556,742,Problemas técnicos,2022-07-21
557,574,Não usa mais,2024-01-19
558,81,Muito caro,2025-04-07
559,666,Problemas técnicos,2023-08-26
560,367,Problemas técnicos,2023-06-11
561,495,Pouco conteúdo,2024-06-06
562,539,Não usa mais,2022-08-25
563,457,Muito caro,2024-10-25
564,39,Pouco conteúdo,2023-04-16
565,410,Problemas técnicos,2025-06-05
566,83,Não usa mais,2023-02-26
567,774,Problemas técnicos,2024-07-26
568,693,Não usa mais,2024-04-25
569,747,Não usa mais,2024-06-14
570,31,Pouco conteúdo,2022-10-26
571,894,Problemas técnicos,2022-11-06
572,696,Não usa mais,2025-01-05
573,333,Problemas técnicos,2022-08-27
574,799,Pouco conteúdo,2023-12-17
575,595,Muito caro,2023-10-05
576,221,Não usa mais,2022-09-11
577,584,Muito caro,2025-03-21
578,950,Pouco conteúdo,2023-10-23
579,292,Pouco conteúdo,2024-09-26
580,970,Não usa mais,2023-12-02
581,574,Pouco conteúdo,2023-03-26
582,841,Não usa mais,2024-04-22
583,540,Não usa mais,2023-03-03
584,818,Pouco conteúdo,2024-10-21
585,373,Pouco conteúdo,2025-06-02
586,472,Problemas técnicos,2023-11-17
587,658,Não usa mais,2023-02-23
588,682,Problemas técnicos,2024-09-06
589,698,Problemas técnicos,2023-05-16
590,685,Muito caro,2022-10-28
591,681,Muito caro,2023-04-26
592,386,Não usa mais,2023-10-09
593,387,Não usa mais,2024-07-16
594,345,Problemas técnicos,2022-11-15
595,325,Problemas técnicos,2022-10-04
596,236,Não usa mais,2023-02-10
597,622,Problemas técnicos,2022-11-01
598,585,Pouco conteúdo,2024-07-07
599,339,Não usa mais,2024-12-30
600,289,Pouco conteúdo,2023-02-14
601,509,Pouco conteúdo,2024-09-14
602,885,Problemas técnicos,2024-11-18
603,3,Pouco conteúdo,2024-01-07
604,905,Problemas técnicos,2023-09-03
605,477,Pouco conteúdo,2025-01-07
606,915,Muito caro,2024-06-26
607,27,Pouco conteúdo,2023-03-22
608,12,Não usa mais,2022-09-04
609,126,Problemas técnicos,2023-12-04
610,806,Não usa mais,2024-03-15
611,834,Pouco conteúdo,2022-10-03
612,109,Muito caro,2024-05-21
613,138,Problemas técnicos,2022-11-21
614,656,Não usa mais,2024-08-22
615,560,Problemas técnicos,2022-10-20
616,684,Pouco conteúdo,2023-06-13
617,53,Não usa mais,2022-08-16
618,122,Pouco conteúdo,2022-09-26
619,828,Não usa mais,2023-10-05
620,333,Muito caro,2024-08-06
621,200,Não usa mais,2023-01-25
622,963,Muito caro,2022-11-06
623,826,Pouco conteúdo,2025-03-27
624,185,Não usa mais,2024-10-19
625,769,Não usa mais,2023-07-14
626,670,Pouco conteúdo,2023-09-02
627,72,Muito caro,2024-05-12
628,756,Não usa mais,2025-06-02
629,802,Pouco conteúdo,2023-09-26
630,321,Não usa mais,2023-03-16
631,264,Não usa mais,2023-08-21
632,901,Problemas técnicos,2025-05-11
633,933,Muito caro,2023-04-26
634,17,Não usa mais,2024-08-03
635,827,Problemas técnicos,2023-08-04
636,377,Muito caro,2024-02-11
637,598,Muito caro,2022-10-13
638,291,Não usa mais,2023-07-04
639,699,Muito caro,2023-10-12
640,843,Pouco conteúdo,2024-06-09
641,392,Problemas técnicos,2024-11-30
642,171,Não usa mais,2023-08-11
643,247,Não usa mais,2025-06-02
644,198,Pouco conteúdo,2024-02-19
645,397,Muito caro,2024-04-24
646,407,Não usa mais,2024-06-23
647,964,Problemas técnicos,2023-04-27
648,89,Problemas técnicos,2023-04-26
649,648,Problemas técnicos,2024-02-28
650,163,Não usa mais,2022-08-19
651,897,Não usa mais,2024-05-14
652,55,Muito caro,2023-01-13
653,206,Não usa mais,2022-10-23
654,961,Muito caro,2022-08-31
655,631,Não usa mais,2023-10-01
656,598,Não usa mais,2024-04-22
657,508,Problemas técnicos,2023-03-07
658,197,Pouco conteúdo,2022-06-20
659,944,Não usa mais,2023-08-12
660,538,Problemas técnicos,2023-12-20
661,231,Não usa mais,2023-08-18
662,990,Muito caro,2024-11-28
663,711,Não usa mais,2024-05-06
664,459,Problemas técnicos,2024-04-25
665,478,Pouco conteúdo,2023-02-05
666,556,Não usa mais,2023-11-01
667,151,Problemas técnicos,2024-05-31
668,66,Problemas técnicos,2024-01-14
669,590,Não usa mais,2023-05-16
670,185,Muito caro,2025-01-13
671,925,Problemas técnicos,2023-06-05
672,266,Pouco conteúdo,2024-01-30
673,120,Problemas técnicos,2025-03-06
674,9,Muito caro,2025-04-09
675,1000,Pouco conteúdo,2024-07-13
676,920,Problemas técnicos,2022-07-11
677,917,Pouco conteúdo,2023-12-03
678,83,Muito caro,2022-09-20
679,197,Pouco conteúdo,2024-05-06
680,932,Problemas técnicos,2022-10-08
681,521,Problemas técnicos,2022-10-21
682,676,Pouco conteúdo,2024-07-03
683,355,Pouco conteúdo,2025-06-12
684,119,Problemas técnicos,2023-12-24
685,476,Problemas técnicos,2023-09-09
686,62,Não usa mais,2024-11-30
687,591,Muito caro,2023-06-12
688,624,Não usa mais,2023-04-02
689,116,Pouco conteúdo,2024-12-30
690,518,Muito caro,2022-09-05
691,404,Não usa mais,2022-07-06
692,881,Não usa mais,2023-08-22
693,920,Pouco conteúdo,2023-06-22
694,31,Pouco conteúdo,2023-11-28
695,356,Muito caro,2022-09-29
696,332,Não usa mais,2024-11-21
697,409,Muito caro,2025-01-20
698,234,Problemas técnicos,2025-05-09
699,115,Não usa mais,2023-05-17
700,681,Problemas técnicos,2022-08-14
701,460,Problemas técnicos,2022-08-15
702,538,Muito caro,2022-09-22
703,897,Não usa mais,2022-10-16
704,49,Pouco conteúdo,2025-04-29
705,336,Problemas técnicos,2024-07-30
706,516,Muito caro,2023-12-16
707,325,Não usa mais,2023-09-20
708,974,Problemas técnicos,2024-08-29
709,237,Não usa mais,2024-03-09
710,923,Muito caro,2024-10-04
711,874,Problemas técnicos,2025-04-07
712,219,Problemas técnicos,2023-12-13
713,96,Pouco conteúdo,2022-08-19
714,11,Pouco conteúdo,2022-09-11
715,119,Problemas técnicos,2022-07-19
716,886,Pouco conteúdo,2023-10-05
717,569,Muito caro,2025-03-03
718,479,Pouco conteúdo,2023-04-02
719,692,Problemas técnicos,2025-05-05
720,150,Não usa mais,2024-12-05
721,251,Muito caro,2024-04-11
722,186,Muito caro,2023-06-07
723,497,Não usa mais,2024-03-29
724,725,Problemas técnicos,2024-01-10
725,394,Problemas técnicos,2023-02-21
726,47,Pouco conteúdo,2024-12-01
727,601,Muito caro,2024-02-28
728,693,Pouco conteúdo,2023-09-08
729,810,Problemas técnicos,2022-12-30
730,955,Não usa mais,2024-12-13
731,371,Não usa mais,2023-10-13
732,239,Problemas técnicos,2023-02-21
